loan_id,customer_id,loan_amount,tenure_months,interest_rate,disbursed_date
57,46,95574,12,12.23,2024-12-18
58,47,230273,24,16.48,2023-04-20
59,48,63546,12,10.09,2023-03-03
60,48,235381,24,11.31,2025-04-28
61,49,124730,36,13.12,2022-09-19
62,50,253679,24,14.38,2024-08-04
63,51,136409,12,15.63,2025-04-21
64,52,59987,12,15.93,2022-09-08
65,53,440329,24,17.48,2023-02-17
66,54,166562,24,16.09,2022-07-04
67,55,54350,24,15.46,2024-12-28
68,56,59367,36,13.25,2024-02-23
69,57,107190,12,10.42,2024-12-24
70,58,136951,24,14.2,2023-09-17
71,59,60115,36,10.0,2025-02-04
72,60,239683,24,15.41,2025-01-13
73,61,56315,48,11.8,2022-01-27
74,62,57037,24,13.53,2023-03-26
75,63,190511,24,17.24,2023-01-08
76,64,55511,24,13.92,2024-01-29
77,64,208283,36,12.82,2023-04-04
78,65,52159,24,14.55,2025-05-24
79,66,142284,12,15.67,2023-12-25
80,66,289469,12,15.29,2023-04-04
81,67,76276,12,10.32,2024-12-29
82,68,148691,12,11.97,2022-10-09
83,68,197949,36,11.42,2023-01-09
84,69,84827,48,12.18,2023-10-05
85,70,83870,24,12.94,2024-10-24
86,71,90566,24,17.45,2024-03-04
87,71,114552,36,16.32,2023-08-30
88,71,183611,36,17.39,2023-09-02
89,72,218226,12,17.17,2025-03-09
90,73,306432,24,12.45,2022-05-20
91,73,235479,48,13.78,2024-10-02
92,73,106826,24,12.59,2023-02-24
93,74,398974,12,13.11,2023-01-23
94,75,65562,36,10.2,2025-05-23
95,76,79045,24,12.8,2024-09-18
96,76,127269,24,13.57,2024-12-22
97,77,79885,36,14.55,2022-01-10
98,78,53289,12,11.53,2025-04-15
99,79,396030,12,12.01,2024-01-02
100,80,176866,36,16.76,2024-05-13
101,81,284647,48,14.5,2024-08-28
102,81,268606,48,15.56,2022-09-30
103,82,65268,36,16.88,2024-03-12
104,83,79875,12,17.49,2024-02-02
105,84,153792,24,16.74,2023-12-13
106,85,176390,12,10.57,2024-10-16
107,86,176582,36,13.88,2024-02-28
108,87,59380,36,15.0,2024-07-27
109,88,57417,12,11.55,2024-06-30
110,88,74624,24,10.38,2022-04-11
111,89,130184,24,12.62,2022-10-09
112,89,141860,48,12.54,2025-01-22
113,90,280059,36,16.57,2024-08-08
114,91,116947,24,11.28,2024-09-05
115,91,94982,36,11.21,2023-06-29
116,92,59385,36,14.83,2022-01-12
117,93,391872,12,14.27,2023-06-30
118,94,229385,24,16.49,2025-02-25
119,95,416733,36,12.96,2025-02-08
120,95,273854,36,12.99,2022-05-14
121,95,652385,12,13.86,2023-12-03
122,96,50455,24,15.14,2024-12-18
123,96,67192,48,14.48,2023-04-11
124,97,62569,24,11.65,2022-11-29
125,98,135995,12,14.21,2024-12-18
126,98,172137,24,14.31,2022-05-22
127,99,161390,48,14.52,2025-02-26
128,100,52638,36,10.06,2022-07-10
129,100,57467,12,10.3,2025-04-08
130,101,234814,24,11.5,2022-06-20
131,102,95064,36,12.89,2023-09-01
132,103,92283,12,13.9,2023-11-21
133,103,70299,24,12.95,2024-04-17
134,104,51717,24,12.02,2024-06-09
135,104,60641,36,12.79,2022-12-03
136,105,59685,48,16.06,2024-07-03
137,105,117566,24,17.74,2023-02-19
138,106,51908,12,10.38,2024-04-26
139,107,124699,36,10.22,2025-02-11
140,108,609242,36,13.08,2023-05-29
141,108,393802,36,13.65,2024-05-10
142,109,330920,24,15.97,2022-02-12
143,110,58197,36,14.77,2024-02-18
144,111,359752,36,13.86,2024-01-30
145,112,111931,24,13.37,2025-06-27
146,113,82886,12,11.11,2024-06-19
147,113,92537,12,10.38,2023-09-25
148,114,129455,48,11.53,2024-07-22
149,114,81731,48,10.72,2024-11-20
150,114,144987,48,11.25,2023-10-08
151,115,109086,48,10.89,2022-11-11
152,115,65348,24,11.03,2023-10-16
153,116,50020,12,11.67,2022-04-14
154,116,53479,12,11.04,2023-05-02
155,117,92895,12,13.43,2023-11-05
156,118,282705,36,15.3,2022-03-14
157,119,180414,24,14.2,2022-02-10
158,120,284041,24,15.28,2022-04-25
159,121,80056,48,11.57,2024-12-05
160,122,215312,36,13.71,2023-12-06
161,123,301516,24,12.59,2022-08-29
162,123,202728,24,12.53,2024-11-12
163,124,77203,48,10.69,2025-02-22
164,125,82222,36,16.9,2024-07-03
165,126,155590,24,15.91,2025-01-28
166,126,237893,36,14.21,2022-10-29
167,127,52438,36,15.72,2022-10-19
168,128,430429,12,15.19,2024-03-04
169,129,54247,12,13.81,2024-03-09
170,130,266813,24,14.8,2023-08-26
171,130,139899,24,14.64,2023-07-16
172,131,139974,36,16.3,2022-03-20
173,132,188400,24,11.11,2022-12-19
174,133,321482,12,13.37,2024-09-15
175,134,55063,36,16.9,2022-10-10
176,135,215317,24,16.88,2024-11-09
177,136,68614,36,13.88,2024-10-06
178,136,57725,48,13.29,2025-03-02
179,137,192680,24,15.43,2024-03-06
180,138,75731,24,12.34,2022-01-23
181,139,501363,36,15.5,2025-02-25
182,139,312973,36,14.55,2024-01-07
183,140,115467,12,11.73,2022-08-05
184,141,436096,12,12.05,2023-08-22
185,142,80407,36,16.43,2024-04-10
186,143,83821,48,13.26,2022-01-28
187,144,61104,24,12.24,2023-11-11
188,144,69234,24,12.5,2025-03-23
189,145,140908,12,12.79,2022-05-19
190,146,58696,12,12.36,2023-06-29
191,147,74919,24,11.82,2022-05-13
192,148,81742,36,15.59,2022-01-16
193,149,110339,24,10.65,2022-01-16
194,150,70254,36,13.08,2022-12-31
195,151,148515,12,12.64,2024-07-14
196,152,102166,48,13.57,2022-09-10
197,152,77095,24,12.53,2023-04-30
198,153,60211,36,14.59,2024-10-13
199,154,154831,24,10.41,2023-12-19
200,155,263565,36,14.16,2023-06-24
201,155,375481,36,15.97,2022-03-14
202,156,109613,12,11.6,2023-07-29
203,156,168957,36,10.91,2023-12-11
204,157,90139,36,10.86,2024-02-29
205,158,88766,36,13.82,2023-05-05
206,159,92025,24,17.05,2024-04-05
207,160,141477,48,12.64,2024-09-14
208,160,70692,48,12.55,2025-01-27
209,161,354185,48,14.17,2022-12-28
210,162,154627,36,13.88,2024-02-02
211,162,161547,48,13.51,2024-10-29
212,163,69838,36,12.44,2022-10-06
213,164,121665,12,14.28,2023-06-02
214,164,118615,36,14.18,2024-05-25
215,165,85379,36,14.23,2022-10-09
216,166,61479,36,15.53,2023-08-27
217,167,138022,36,12.29,2022-10-13
218,167,124814,24,13.51,2024-11-22
219,168,536542,12,15.84,2024-03-19
220,169,92925,48,14.16,2023-08-17
221,169,66969,48,15.36,2024-02-27
222,169,62077,36,15.59,2023-10-20
223,170,82677,24,10.37,2024-03-26
224,171,83641,24,15.1,2023-03-27
225,172,486262,36,13.55,2022-03-04
226,172,347911,48,13.83,2024-10-10
227,173,243036,24,12.42,2025-02-04
228,174,95034,36,14.18,2023-06-01
229,174,59323,12,15.68,2024-04-21
230,175,113693,12,13.06,2024-01-01
231,175,537426,12,12.51,2024-06-25
232,176,237291,24,14.31,2025-03-25
233,177,113957,24,12.31,2024-05-29
234,178,52747,12,10.84,2022-07-16
235,179,185141,12,13.1,2024-09-27
236,180,53251,36,11.2,2024-01-06
237,181,320558,36,15.61,2023-04-05
238,182,224644,24,12.85,2023-12-24
239,183,68128,24,13.83,2024-04-20
240,184,237915,48,16.43,2022-02-19
241,185,108186,12,12.37,2022-07-13
242,185,209904,24,13.31,2022-12-10
243,186,556147,36,14.67,2022-12-08
244,187,144420,36,15.65,2024-02-13
245,187,54316,12,15.57,2024-05-07
246,188,103328,36,10.55,2022-01-24
247,189,96596,12,15.04,2022-01-18
248,190,61494,24,16.61,2022-10-11
249,191,165922,36,14.34,2024-02-24
250,191,123049,48,15.28,2022-08-29
251,192,320147,24,14.5,2025-01-05
252,193,52729,12,14.18,2023-04-27
253,194,78500,12,14.63,2023-09-06
254,195,178932,12,13.97,2025-04-23
255,196,94624,12,17.65,2022-10-18
256,197,154109,24,13.32,2024-01-14
257,198,103838,36,11.42,2023-08-23
258,199,425829,36,14.47,2024-07-14
259,200,160819,48,13.1,2022-11-22
260,200,463284,12,13.59,2024-06-07
261,201,64814,24,12.97,2024-02-26
262,202,51148,12,11.73,2024-09-27
263,203,115426,24,15.65,2022-07-07
264,204,162356,36,16.97,2024-06-28
265,205,115532,48,16.94,2023-01-11
266,206,159826,12,17.28,2025-02-26
267,207,80974,24,11.35,2023-11-01
268,208,90881,36,13.46,2022-10-15
269,208,68900,48,12.32,2024-12-15
270,209,117165,36,17.99,2022-10-19
271,210,68424,48,15.04,2025-05-23
272,211,93943,36,13.35,2024-03-10
273,211,101975,24,12.64,2023-10-25
274,212,159379,36,12.28,2023-07-13
275,213,116258,12,15.94,2022-06-13
276,214,312662,48,14.39,2022-10-17
277,214,119972,24,14.24,2024-10-02
278,215,131282,24,13.22,2024-02-26
279,215,59649,48,12.41,2025-05-12
280,216,98860,24,13.12,2023-06-28
281,217,54978,12,13.6,2025-03-05
282,218,210146,12,12.12,2022-07-13
283,219,486358,12,12.68,2024-06-18
284,220,63771,36,10.9,2023-03-06
285,221,216645,48,13.51,2022-07-10
286,222,131287,48,11.91,2023-04-22
287,223,114145,24,15.52,2024-12-25
288,224,161775,48,10.75,2025-05-27
289,225,50932,48,11.45,2023-08-31
290,226,186764,12,11.34,2022-10-05
291,227,55194,12,11.71,2023-09-24
292,227,78476,24,10.56,2024-10-18
293,228,98616,24,14.81,2022-07-25
294,229,143849,48,14.76,2022-05-31
295,230,61124,12,14.03,2025-02-23
296,230,54918,24,15.19,2023-07-19
297,231,59752,24,15.17,2025-03-03
298,232,92607,12,16.72,2024-12-26
299,232,98290,12,16.11,2022-11-18
300,232,149972,12,17.02,2024-05-11
301,233,141825,12,13.69,2023-05-17
302,233,73202,12,13.96,2022-11-04
303,234,92126,24,13.36,2024-10-04
304,235,163882,36,13.51,2025-02-03
305,235,95962,48,12.58,2024-03-01
306,236,129089,36,15.65,2024-12-26
307,236,72525,48,14.32,2025-04-23
308,237,72821,12,10.63,2022-12-31
309,237,56040,12,11.08,2024-08-15
310,238,101396,12,13.57,2023-04-29
311,239,241566,24,13.45,2023-05-16
312,240,76120,12,17.67,2024-08-15
313,241,58931,12,13.06,2022-11-21
314,241,57401,24,13.44,2024-08-02
315,241,76805,24,13.46,2023-07-22
316,242,556142,48,13.45,2022-04-14
317,242,213602,12,13.05,2024-03-23
318,243,107989,24,12.48,2023-12-18
319,243,287100,12,12.88,2025-05-31
320,243,332744,24,13.7,2023-05-02
321,244,110832,36,16.0,2024-06-10
322,245,223404,24,13.78,2022-11-22
323,246,104723,48,14.37,2022-12-29
324,247,65457,36,11.06,2022-01-07
325,248,78168,12,15.18,2022-08-06
326,249,103440,12,10.19,2023-04-17
327,250,128081,48,15.2,2022-01-22
328,251,144739,12,15.14,2023-09-11
329,251,100341,24,14.15,2023-03-12
330,252,98470,24,13.16,2024-05-30
331,252,50723,36,13.79,2024-05-16
332,253,79689,48,15.53,2025-02-25
333,254,88930,36,14.79,2023-05-15
334,255,81811,12,14.18,2022-11-24
335,256,52269,36,14.33,2023-08-23
336,256,57058,36,15.56,2022-12-14
337,256,56533,12,14.76,2024-07-24
338,257,102256,24,10.71,2023-10-19
339,258,109160,24,10.95,2025-01-07
340,259,68431,36,10.55,2022-02-17
341,260,79487,24,10.52,2022-05-14
342,261,83189,36,14.69,2024-12-07
343,262,51347,24,13.21,2023-05-05
344,263,64693,36,13.97,2022-02-26
345,263,50417,12,13.0,2022-08-14
346,264,88991,12,16.12,2025-06-03
347,265,133407,12,13.16,2022-02-28
348,265,293950,48,12.36,2023-09-18
349,266,161409,48,17.71,2023-01-08
350,267,108273,36,17.48,2022-07-24
351,268,191349,24,14.49,2023-12-13
352,268,111720,12,15.83,2023-10-22
353,269,50973,36,10.62,2023-05-29
354,270,57320,48,14.92,2024-05-27
355,271,171859,48,17.8,2023-03-30
356,271,304640,24,16.9,2022-05-21
357,272,200529,24,14.95,2023-09-24
358,272,148117,36,14.9,2024-12-18
359,273,90455,36,10.9,2023-05-25
360,274,79465,24,14.89,2024-02-27
361,274,121106,48,14.78,2024-05-12
362,275,62449,24,13.3,2023-10-19
363,275,106840,48,12.3,2022-11-20
364,275,100822,48,13.07,2024-04-02
365,276,61820,24,13.64,2025-06-19
366,276,222675,24,13.21,2023-09-05
367,277,304356,48,15.5,2023-07-24
368,278,58156,12,11.16,2023-06-09
369,279,59131,24,11.87,2022-02-05
370,279,80481,12,11.1,2024-02-03
371,280,87560,36,10.55,2022-03-22
372,281,172727,12,13.18,2024-08-18
373,281,310417,48,12.82,2023-05-15
374,281,222090,48,13.9,2024-02-27
375,282,64717,48,14.15,2024-04-23
376,283,64621,12,12.15,2024-01-18
377,284,104238,12,11.3,2022-02-01
378,285,154465,48,12.92,2025-06-20
379,285,236541,24,12.43,2023-04-21
380,286,57328,24,11.33,2024-12-21
381,287,89496,24,13.62,2024-02-17
382,288,211778,12,14.8,2023-01-21
383,288,114544,36,15.43,2025-01-13
384,289,111954,24,12.58,2025-05-07
385,290,165374,24,12.51,2022-01-16
386,290,172411,48,12.89,2022-12-16
387,291,92881,12,14.32,2024-03-06
388,291,53290,48,15.42,2025-04-12
389,291,109181,36,14.43,2022-06-27
390,292,79701,12,12.5,2024-01-06
391,293,87915,12,11.55,2023-03-16
392,293,195165,24,11.15,2024-07-12
393,294,228786,36,11.33,2024-03-10
394,295,64163,48,10.66,2025-04-26
395,295,52853,36,10.06,2023-07-31
396,296,299503,48,12.94,2024-11-17
397,297,86289,12,13.56,2022-04-24
398,298,100221,36,12.96,2025-03-13
399,299,247710,36,16.36,2025-03-22
400,299,416264,12,16.24,2024-05-02
401,299,284592,36,16.41,2023-07-10
402,300,63378,48,17.63,2025-01-29
403,301,55847,12,11.56,2025-03-28
404,301,80622,36,11.52,2024-09-29
405,302,534073,24,16.96,2022-07-28
406,303,183939,24,15.97,2023-01-07
407,304,98058,12,13.88,2024-02-21
408,305,87809,24,11.35,2022-07-29
409,305,59915,24,11.46,2025-03-28
410,306,197384,36,17.41,2022-11-16
411,306,168111,48,17.77,2024-12-20
412,307,109163,36,10.42,2024-10-23
413,308,138157,24,13.09,2022-10-19
414,309,181960,36,15.75,2023-03-23
415,310,161891,36,13.8,2024-04-20
416,310,163760,12,13.04,2023-07-19
417,311,189017,24,12.3,2023-05-13
418,312,94217,12,14.65,2024-07-02
419,312,112953,36,14.76,2022-03-08
420,313,203088,36,13.49,2025-01-21
421,313,74437,48,12.79,2023-02-03
422,314,207786,24,12.35,2023-10-08
423,315,334542,48,12.86,2023-08-06
424,315,135406,48,13.43,2024-12-13
425,316,171514,36,14.31,2022-04-17
426,316,128856,24,15.52,2024-10-17
427,317,66610,36,12.99,2023-03-26
428,318,401815,48,12.39,2022-05-01
429,318,156224,24,12.31,2022-05-10
430,319,232075,36,15.34,2023-01-14
431,320,896949,24,14.48,2022-11-23
432,321,109338,12,12.35,2023-08-16
433,322,144428,12,15.11,2022-06-07
434,322,69309,24,14.93,2023-11-18
435,323,128389,48,10.62,2023-11-05
436,324,255911,24,14.65,2024-07-24
437,325,255274,12,10.27,2023-12-30
438,326,129946,12,17.88,2022-03-25
439,327,60240,48,15.39,2023-03-27
440,328,213635,24,15.44,2023-04-09
441,329,395426,48,13.22,2024-12-27
442,330,96514,36,12.78,2025-05-21
443,331,99298,36,13.44,2022-10-13
444,332,105868,12,15.98,2022-09-14
445,333,73782,36,12.27,2024-03-31
446,334,89153,48,14.97,2024-03-03
447,335,75151,24,10.1,2022-06-04
448,335,89143,24,10.93,2023-06-27
449,335,185882,36,10.18,2022-05-17
450,336,291588,36,17.77,2022-05-30
451,337,354216,24,15.83,2025-01-10
452,338,192627,36,15.41,2024-06-17
453,339,169042,36,15.22,2022-04-28
454,340,65066,12,13.06,2022-10-27
455,341,169232,24,12.18,2022-06-20
456,342,71682,48,11.83,2023-01-06
457,343,85366,36,15.81,2022-01-29
458,344,295651,24,14.0,2025-01-10
459,344,361890,24,12.2,2023-01-15
460,345,118252,24,13.14,2024-04-22
461,345,128992,24,12.16,2023-04-26
462,346,426060,24,14.49,2022-11-04
463,347,58192,48,15.13,2023-03-06
464,347,89762,12,14.57,2022-03-29
465,348,76172,12,11.67,2025-02-06
466,349,59910,48,12.32,2024-04-18
467,350,80825,24,14.89,2024-06-17
468,351,51016,24,13.32,2022-08-14
469,352,370873,24,14.17,2022-07-02
470,353,54158,48,13.26,2024-11-25
471,354,191640,24,13.04,2024-05-02
472,355,97208,24,18.0,2023-12-12
473,356,131591,12,17.39,2024-07-11
474,357,66261,24,17.72,2024-09-10
475,358,217084,36,11.39,2023-09-11
476,358,186264,48,10.05,2025-03-22
477,359,62550,24,10.52,2024-05-09
478,360,227591,12,10.37,2023-12-06
479,360,276220,24,11.91,2025-06-06
480,361,80680,24,16.33,2022-04-10
481,361,276100,36,16.68,2022-10-10
482,362,200121,24,12.32,2023-03-14
483,363,112684,48,10.51,2022-09-10
484,363,116673,24,11.75,2022-06-10
485,363,208728,36,10.56,2024-09-01
486,364,144976,12,11.43,2023-10-22
487,365,64647,24,13.98,2024-08-05
488,366,59463,36,14.52,2025-05-03
489,367,113236,36,10.51,2024-08-17
490,368,77740,24,11.03,2024-08-24
491,369,269536,12,16.52,2023-03-30
492,370,167090,24,15.11,2022-12-03
493,371,79478,36,13.56,2023-07-12
494,372,90497,24,16.35,2025-06-19
495,373,91247,24,13.97,2025-03-02
496,373,73351,36,13.56,2022-07-17
497,373,111867,48,13.72,2024-06-08
498,374,211066,24,14.89,2022-12-29
499,375,82964,12,15.22,2023-07-26
500,376,91082,24,13.9,2025-06-13
501,377,161129,36,11.32,2023-10-22
502,378,319376,24,12.66,2024-05-01
503,379,144673,36,11.1,2024-11-06
504,379,52430,24,10.63,2023-11-29
505,380,99800,24,11.79,2022-02-21
506,381,58614,36,17.26,2025-04-30
507,382,70404,48,12.3,2023-01-02
508,383,234026,48,17.6,2025-01-10
509,383,160721,36,16.6,2022-07-22
510,384,138626,36,12.39,2023-04-22
511,385,272814,24,12.44,2024-02-14
512,386,51758,24,10.18,2023-02-24
513,387,328780,36,13.43,2022-06-30
514,387,212490,48,13.53,2022-09-11
515,388,54620,36,14.85,2025-04-28
516,388,55626,12,15.45,2022-06-17
517,389,82097,24,10.74,2024-08-04
518,390,123138,36,15.09,2022-02-18
519,390,73062,24,15.86,2022-11-06
520,391,124738,36,17.72,2024-02-13
521,392,277026,48,15.14,2023-06-25
522,392,265050,24,14.03,2024-07-10
523,393,339340,24,10.58,2022-05-17
524,394,74694,24,12.72,2023-10-29
525,394,104099,12,12.63,2023-10-14
526,394,50346,24,12.6,2023-11-21
527,395,107614,48,10.22,2023-12-07
528,396,321873,24,15.09,2022-06-12
529,397,69955,24,13.65,2025-01-30
530,398,75779,48,14.93,2024-07-13
531,398,52837,48,14.22,2024-06-29
532,398,152147,12,15.16,2023-09-14
533,399,263221,36,12.12,2022-07-30
534,400,88897,36,15.83,2022-07-02
535,400,55377,36,14.38,2022-02-03
536,401,342559,24,15.3,2024-05-19
537,402,75199,24,12.12,2025-04-16
538,403,285119,48,16.84,2023-11-24
539,404,419084,24,17.26,2023-01-24
540,405,53898,36,15.57,2024-01-11
541,406,86773,24,11.51,2024-04-04
542,406,172777,36,10.62,2023-08-03
543,406,59403,24,11.36,2023-05-13
544,407,91664,36,12.76,2024-04-06
545,408,68243,24,15.49,2024-06-03
546,409,93372,12,13.81,2022-05-18
547,410,318524,48,16.61,2024-11-18
548,411,64132,24,11.6,2025-01-01
549,412,102882,36,17.34,2022-07-15
550,413,578294,12,12.03,2023-03-09
551,414,149076,36,12.32,2024-06-09
552,415,230239,24,14.7,2023-05-04
553,415,118718,48,15.36,2023-09-20
554,416,60900,36,11.01,2023-10-15
555,417,355652,24,15.7,2022-09-28
556,418,99117,48,15.71,2023-07-15
557,419,227753,36,10.18,2023-12-03
558,419,201048,36,11.07,2022-10-22
559,420,510699,36,14.15,2023-06-14
560,420,336228,24,14.92,2022-09-08
561,421,187489,24,13.42,2023-07-08
562,421,85081,24,12.79,2023-01-09
563,422,71430,36,12.12,2025-06-17
564,423,120233,24,15.08,2024-04-11
565,423,181869,36,14.26,2025-01-25
566,424,549953,12,14.93,2024-09-04
567,425,479464,36,16.87,2023-08-17
568,425,617583,36,16.76,2022-07-02
569,426,236652,36,15.93,2023-04-20
570,426,183003,24,15.07,2024-07-06
571,427,223514,48,12.23,2025-01-27
572,428,191415,36,15.25,2022-07-23
573,429,246996,12,13.1,2024-02-03
574,430,77263,24,11.11,2022-03-16
575,431,336587,24,12.96,2022-06-22
576,432,52711,24,10.08,2023-09-30
577,433,80020,12,14.76,2023-04-01
578,434,220721,48,14.95,2023-09-24
579,435,965252,36,15.87,2025-03-16
580,436,242282,24,10.6,2022-05-12
581,437,133624,24,11.72,2023-08-19
582,438,54204,24,12.49,2024-06-30
583,438,55886,36,13.41,2024-09-05
584,439,79983,36,14.97,2023-09-27
585,440,61742,36,12.19,2024-03-29
586,441,105623,48,16.56,2023-10-16
587,442,104969,12,11.49,2022-01-07
588,443,301191,48,10.4,2023-08-09
589,444,109619,36,13.19,2022-06-20
590,444,210147,24,12.26,2025-03-04
591,445,142486,24,16.68,2024-05-25
592,446,63618,48,12.68,2022-10-18
593,447,94393,48,14.94,2024-12-31
594,447,125825,24,14.39,2023-01-11
595,447,87427,36,15.8,2022-09-18
596,448,84911,24,15.9,2025-03-23
597,448,57961,36,15.33,2025-01-22
598,449,71989,36,12.26,2023-05-17
599,450,74236,12,14.64,2022-09-21
600,450,280495,24,15.56,2024-07-17
601,451,64085,24,10.68,2022-09-09
602,452,56681,48,17.52,2025-03-18
603,453,123939,36,10.07,2022-07-19
604,454,88034,24,15.41,2022-09-25
605,455,71547,36,14.88,2023-04-09
606,456,141972,36,12.96,2022-02-21
607,457,226592,48,15.79,2024-04-12
608,458,143573,36,12.78,2024-02-22
609,459,151099,12,15.2,2024-11-21
610,460,88462,36,16.09,2024-11-22
611,461,85142,48,11.8,2025-06-09
612,461,166451,24,11.88,2022-01-03
613,461,118748,36,11.31,2023-05-16
614,462,289564,36,12.7,2024-12-24
615,462,176023,12,13.03,2022-05-14
616,463,99501,24,14.32,2024-09-13
617,464,106535,36,15.4,2023-02-28
618,465,446924,48,14.74,2023-05-08
619,465,301562,48,14.73,2023-10-02
620,466,61200,12,15.21,2022-08-26
621,467,336680,24,13.35,2022-10-12
622,468,86095,48,14.06,2022-04-06
623,468,98602,36,14.06,2023-08-28
624,469,184396,12,14.95,2022-03-23
625,470,69279,36,17.41,2023-07-19
626,471,155890,24,14.74,2024-04-04
627,472,111554,48,11.07,2022-09-05
628,473,427119,12,17.41,2025-04-26
629,474,230873,48,11.28,2023-03-06
630,474,143550,36,10.06,2022-05-23
631,474,217949,36,10.93,2022-04-22
632,475,91406,36,11.06,2024-01-08
633,476,65509,36,14.48,2023-12-04
634,476,158026,48,15.54,2024-06-12
635,477,121517,48,14.57,2024-12-17
636,478,60344,24,12.63,2023-03-12
637,479,452936,12,14.81,2024-08-03
638,480,134130,36,10.18,2025-06-25
639,481,76292,12,17.03,2022-06-01
640,481,57443,36,17.65,2025-04-08
641,482,74245,36,11.17,2025-03-02
642,483,161113,24,12.75,2022-11-11
643,484,149412,48,16.5,2025-06-04
644,485,153326,24,13.58,2025-03-02
645,486,112699,24,11.73,2024-11-15
646,487,173305,24,14.68,2022-06-27
647,487,83712,24,14.63,2023-06-20
648,487,138741,36,15.45,2025-01-10
649,488,56559,12,15.3,2025-03-23
650,488,70771,36,15.4,2024-09-08
651,489,136514,24,13.63,2024-03-06
652,490,74623,36,16.92,2024-11-29
653,491,99413,48,12.07,2022-11-21
654,492,176000,24,14.78,2024-03-21
655,492,235633,48,15.49,2023-04-09
656,493,114910,48,16.23,2025-05-22
657,494,259063,12,11.3,2024-08-21
658,494,141227,24,11.17,2024-12-19
659,495,68431,12,13.14,2022-03-10
660,495,58858,48,13.36,2023-08-01
661,496,65951,24,11.27,2023-04-16
662,497,143575,12,17.13,2025-05-26
663,497,122311,48,16.3,2025-06-11
664,498,144162,24,16.79,2024-06-18
665,499,77194,24,15.58,2022-05-25
666,500,53805,24,16.91,2022-04-04
667,500,111705,36,17.79,2022-05-25
668,500,168834,36,17.4,2024-03-27
669,501,153177,36,14.49,2022-02-16
670,502,492647,24,15.63,2025-06-10
671,503,51260,12,10.36,2022-09-07
672,503,146200,12,11.2,2023-04-24
673,504,211854,48,10.98,2024-03-28
674,505,57254,48,13.97,2022-09-01
675,506,108321,12,12.69,2022-05-18
676,507,50026,24,15.83,2024-05-07
677,508,78917,48,11.09,2023-04-21
678,509,94032,48,11.86,2022-09-07
679,510,152771,36,10.45,2023-07-29
680,511,92749,36,14.47,2025-06-23
681,512,327633,48,13.2,2024-06-12
682,513,294096,24,15.35,2023-09-12
683,513,166690,36,14.54,2022-08-14
684,514,88741,12,12.02,2025-02-27
685,515,148351,24,13.69,2023-05-31
686,515,126446,36,12.96,2023-05-15
687,516,173882,48,15.71,2024-08-25
688,516,88019,36,14.93,2024-06-07
689,517,68795,36,12.43,2022-12-06
690,518,89234,36,10.21,2024-10-04
691,519,70524,24,12.3,2023-11-29
692,520,67958,24,13.26,2023-10-08
693,521,70710,24,12.51,2022-11-15
694,522,400226,24,11.43,2024-04-04
695,523,390269,36,16.87,2022-04-14
696,524,112077,36,15.43,2024-03-18
