loan_id,customer_id,loan_amount,interest_rate,age,income,employment_type,credit_score,max_dpd,is_default
87,71,114552,16.32,41,381544,Self-Employed,565,49,0
88,71,183611,17.39,41,381544,Self-Employed,565,60,0
89,72,218226,17.17,21,421559,Salaried,590,23,0
90,73,306432,12.45,32,733064,Self-Employed,676,60,0
91,73,235479,13.78,32,733064,Self-Employed,676,60,0
92,73,106826,12.59,32,733064,Self-Employed,676,11,0
93,74,398974,13.11,35,882352,Salaried,652,75,0
94,75,65562,10.2,46,697689,Salaried,728,60,0
95,76,79045,12.8,42,418809,Salaried,689,75,0
96,76,127269,13.57,42,418809,Salaried,689,60,0
97,77,79885,14.55,33,512904,Self-Employed,623,68,0
98,78,53289,11.53,33,523752,Salaried,702,7,0
99,79,396030,12.01,34,747713,Self-Employed,677,43,0
100,80,176866,16.76,48,631539,Salaried,598,27,0
101,81,284647,14.5,33,1306575,Salaried,605,35,0
102,81,268606,15.56,33,1306575,Salaried,605,44,0
103,82,65268,16.88,34,260783,Self-Employed,599,27,0
104,83,79875,17.49,39,226200,Self-Employed,564,117,1
105,84,153792,16.74,35,718689,Salaried,577,60,0
106,85,176390,10.57,34,785280,Salaried,787,22,0
107,86,176582,13.88,27,465205,Salaried,676,77,0
108,87,59380,15.0,36,265338,Salaried,609,151,1
109,88,57417,11.55,32,212957,Salaried,783,42,0
110,88,74624,10.38,32,212957,Salaried,783,60,0
111,89,130184,12.62,45,419189,Salaried,659,68,0
112,89,141860,12.54,45,419189,Salaried,659,60,0
113,90,280059,16.57,41,947315,Salaried,580,38,0
114,91,116947,11.28,36,326848,Salaried,703,60,0
115,91,94982,11.21,36,326848,Salaried,703,64,0
116,92,59385,14.83,41,207923,Self-Employed,600,60,0
117,93,391872,14.27,33,979790,Self-Employed,613,36,0
118,94,229385,16.49,44,388839,Self-Employed,585,43,0
119,95,416733,12.96,36,1425874,Salaried,664,134,1
120,95,273854,12.99,36,1425874,Salaried,664,60,0
121,95,652385,13.86,36,1425874,Salaried,664,60,0
122,96,50455,15.14,41,200870,Salaried,602,15,0
123,96,67192,14.48,41,200870,Salaried,602,60,0
124,97,62569,11.65,26,197073,Salaried,777,19,0
125,98,135995,14.21,39,793836,Salaried,622,60,0
126,98,172137,14.31,39,793836,Salaried,622,9,0
127,99,161390,14.52,22,762375,Salaried,604,54,0
128,100,52638,10.06,21,180294,Salaried,742,68,0
129,100,57467,10.3,21,180294,Salaried,742,36,0
130,101,234814,11.5,34,916055,Salaried,714,60,0
131,102,95064,12.89,29,330753,Self-Employed,696,61,0
132,103,92283,13.9,37,239175,Salaried,660,68,0
133,103,70299,12.95,37,239175,Salaried,660,61,0
134,104,51717,12.02,54,219924,Salaried,697,7,0
135,104,60641,12.79,54,219924,Salaried,697,76,0
136,105,59685,16.06,29,417887,Self-Employed,599,140,1
137,105,117566,17.74,29,417887,Self-Employed,599,21,0
138,106,51908,10.38,31,328228,Salaried,790,62,0
139,107,124699,10.22,38,570267,Self-Employed,793,66,0
140,108,609242,13.08,40,1647422,Salaried,652,60,0
141,108,393802,13.65,40,1647422,Salaried,652,60,0
142,109,330920,15.97,35,1064911,Salaried,626,56,0
143,110,58197,14.77,34,397151,Salaried,639,63,0
144,111,359752,13.86,42,759192,Salaried,691,10,0
145,112,111931,13.37,40,562028,Salaried,665,143,1
146,113,82886,11.11,28,298906,Salaried,781,65,0
147,113,92537,10.38,28,298906,Salaried,781,37,0
148,114,129455,11.53,35,593567,Self-Employed,779,75,0
149,114,81731,10.72,35,593567,Self-Employed,779,37,0
150,114,144987,11.25,35,593567,Self-Employed,779,60,0
151,115,109086,10.89,36,347491,Salaried,747,60,0
152,115,65348,11.03,36,347491,Salaried,747,73,0
153,116,50020,11.67,28,257843,Salaried,771,60,0
154,116,53479,11.04,28,257843,Salaried,771,60,0
155,117,92895,13.43,38,397738,Self-Employed,695,9,0
156,118,282705,15.3,29,797289,Salaried,630,69,0
157,119,180414,14.2,44,489303,Salaried,635,96,1
158,120,284041,15.28,38,671255,Self-Employed,613,77,0
159,121,80056,11.57,37,725950,Self-Employed,752,41,0
160,122,215312,13.71,31,573617,Salaried,671,60,0
161,123,301516,12.59,35,820577,Salaried,651,67,0
162,123,202728,12.53,35,820577,Salaried,651,38,0
163,124,77203,10.69,21,240224,Salaried,791,75,0
164,125,82222,16.9,27,227585,Salaried,565,5,0
165,126,155590,15.91,39,470733,Salaried,645,73,0
166,126,237893,14.21,39,470733,Salaried,645,71,0
167,127,52438,15.72,21,561148,Salaried,644,61,0
168,128,430429,15.19,43,1464019,Salaried,620,60,0
169,129,54247,13.81,22,274116,Self-Employed,659,42,0
170,130,266813,14.8,42,477553,Salaried,621,61,0
171,130,139899,14.64,42,477553,Salaried,621,56,0
172,131,139974,16.3,29,1048528,Salaried,589,5,0
173,132,188400,11.11,42,1564786,Self-Employed,789,48,0
174,133,321482,13.37,37,1002660,Salaried,691,60,0
175,134,55063,16.9,24,236223,Salaried,598,133,1
176,135,215317,16.88,46,596579,Self-Employed,588,77,0
177,136,68614,13.88,48,264543,Salaried,668,28,0
178,136,57725,13.29,48,264543,Salaried,668,61,0
179,137,192680,15.43,35,812703,Self-Employed,639,64,0
180,138,75731,12.34,34,230476,Salaried,694,40,0
181,139,501363,15.5,35,1783976,Salaried,646,135,1
182,139,312973,14.55,35,1783976,Salaried,646,63,0
183,140,115467,11.73,28,296603,Self-Employed,781,144,1
184,141,436096,12.05,45,1703368,Salaried,651,24,0
185,142,80407,16.43,32,235096,Salaried,568,67,0
186,143,83821,13.26,36,233723,Salaried,694,41,0
187,144,61104,12.24,30,206333,Salaried,654,71,0
188,144,69234,12.5,30,206333,Salaried,654,63,0
189,145,140908,12.79,31,840563,Self-Employed,664,34,0
190,146,58696,12.36,26,185068,Salaried,697,33,0
191,147,74919,11.82,46,228958,Self-Employed,745,60,0
192,148,81742,15.59,35,207789,Salaried,604,96,1
193,149,110339,10.65,44,1283607,Salaried,767,63,0
194,150,70254,13.08,36,203921,Salaried,692,54,0
195,151,148515,12.64,30,395498,Salaried,695,61,0
196,152,102166,13.57,33,239019,Salaried,660,14,0
197,152,77095,12.53,33,239019,Salaried,660,72,0
198,153,60211,14.59,32,280588,Salaried,603,32,0
199,154,154831,10.41,36,499157,Self-Employed,738,60,0
200,155,263565,14.16,33,1326211,Salaried,616,44,0
201,155,375481,15.97,33,1326211,Salaried,616,69,0
202,156,109613,11.6,34,717800,Salaried,774,55,0
203,156,168957,10.91,34,717800,Salaried,774,11,0
204,157,90139,10.86,25,371917,Self-Employed,795,130,1
205,158,88766,13.82,30,313581,Salaried,652,60,0
206,159,92025,17.05,49,193078,Salaried,593,60,0
207,160,141477,12.64,31,389965,Self-Employed,665,78,0
208,160,70692,12.55,31,389965,Self-Employed,665,78,0
209,161,354185,14.17,28,1243494,Salaried,607,101,1
210,162,154627,13.88,39,1126592,Salaried,666,68,0
211,162,161547,13.51,39,1126592,Salaried,666,150,1
212,163,69838,12.44,47,193185,Self-Employed,652,60,0
213,164,121665,14.28,24,438891,Self-Employed,641,60,0
214,164,118615,14.18,24,438891,Self-Employed,641,71,0
215,165,85379,14.23,34,311040,Self-Employed,615,60,0
216,166,61479,15.53,31,187694,Self-Employed,615,6,0
217,167,138022,12.29,22,1098204,Salaried,671,72,0
218,167,124814,13.51,22,1098204,Salaried,671,60,0
219,168,536542,15.84,42,1499798,Self-Employed,645,143,1
220,169,92925,14.16,36,215557,Salaried,620,60,0
221,169,66969,15.36,36,215557,Salaried,620,66,0
222,169,62077,15.59,36,215557,Salaried,620,121,1
223,170,82677,10.37,37,282925,Salaried,716,21,0
224,171,83641,15.1,30,203950,Salaried,643,60,0
225,172,486262,13.55,40,1466002,Salaried,688,60,0
226,172,347911,13.83,40,1466002,Salaried,688,51,0
227,173,243036,12.42,32,565083,Self-Employed,686,72,0
228,174,95034,14.18,35,197307,Salaried,649,60,0
229,174,59323,15.68,35,197307,Salaried,649,77,0
230,175,113693,13.06,27,1312650,Salaried,688,65,0
231,175,537426,12.51,27,1312650,Salaried,688,39,0
232,176,237291,14.31,26,764605,Salaried,631,60,0
233,177,113957,12.31,47,240098,Salaried,692,54,0
234,178,52747,10.84,32,232373,Salaried,710,60,0
235,179,185141,13.1,38,884586,Self-Employed,660,50,0
236,180,53251,11.2,36,248161,Salaried,729,14,0
237,181,320558,15.61,32,755315,Self-Employed,605,60,0
238,182,224644,12.85,32,801639,Self-Employed,681,30,0
239,183,68128,13.83,41,213662,Salaried,660,20,0
240,184,237915,16.43,34,578893,Salaried,556,68,0
241,185,108186,12.37,35,742328,Self-Employed,675,36,0
242,185,209904,13.31,35,742328,Self-Employed,675,27,0
243,186,556147,14.67,36,1272113,Salaried,609,153,1
244,187,144420,15.65,45,591877,Salaried,622,92,1
245,187,54316,15.57,45,591877,Salaried,622,60,0
246,188,103328,10.55,41,589384,Salaried,794,134,1
247,189,96596,15.04,39,1555860,Self-Employed,621,76,0
248,190,61494,16.61,31,448680,Self-Employed,558,38,0
249,191,165922,14.34,25,365207,Self-Employed,621,15,0
250,191,123049,15.28,25,365207,Self-Employed,621,60,0
251,192,320147,14.5,44,814030,Self-Employed,627,46,0
252,193,52729,14.18,44,273204,Salaried,648,10,0
253,194,78500,14.63,35,338634,Self-Employed,632,59,0
254,195,178932,13.97,40,447485,Salaried,698,41,0
255,196,94624,17.65,42,239656,Salaried,586,93,1
256,197,154109,13.32,43,421434,Self-Employed,692,60,0
257,198,103838,11.42,43,776920,Self-Employed,700,64,0
258,199,425829,14.47,32,1724643,Salaried,640,49,0
259,200,160819,13.1,48,930108,Salaried,687,150,1
260,200,463284,13.59,48,930108,Salaried,687,60,0
261,201,64814,12.97,26,596226,Salaried,656,60,0
262,202,51148,11.73,43,194729,Self-Employed,714,35,0
263,203,115426,15.65,40,407726,Salaried,630,65,0
264,204,162356,16.97,43,1536361,Salaried,584,74,0
265,205,115532,16.94,51,417399,Self-Employed,598,64,0
266,206,159826,17.28,48,526559,Self-Employed,581,7,0
267,207,80974,11.35,27,448865,Salaried,734,50,0
268,208,90881,13.46,22,269914,Self-Employed,680,138,1
269,208,68900,12.32,22,269914,Self-Employed,680,60,0
270,209,117165,17.99,43,906432,Self-Employed,585,71,0
271,210,68424,15.04,28,297901,Salaried,613,60,0
272,211,93943,13.35,36,411236,Self-Employed,681,9,0
273,211,101975,12.64,36,411236,Self-Employed,681,28,0
274,212,159379,12.28,43,472145,Salaried,673,28,0
275,213,116258,15.94,23,601802,Self-Employed,617,76,0
276,214,312662,14.39,21,738563,Self-Employed,605,60,0
277,214,119972,14.24,21,738563,Self-Employed,605,5,0
278,215,131282,13.22,38,451413,Salaried,660,71,0
279,215,59649,12.41,38,451413,Salaried,660,66,0
280,216,98860,13.12,36,732852,Self-Employed,650,109,1
281,217,54978,13.6,34,189971,Salaried,680,76,0
282,218,210146,12.12,36,691680,Salaried,658,36,0
283,219,486358,12.68,29,987596,Salaried,699,60,0
284,220,63771,10.9,24,686818,Salaried,760,60,0
285,221,216645,13.51,35,1418986,Salaried,658,60,0
286,222,131287,11.91,28,523552,Salaried,789,30,0
287,223,114145,15.52,23,244339,Salaried,626,8,0
288,224,161775,10.75,40,636418,Salaried,730,79,0
289,225,50932,11.45,36,355736,Salaried,732,31,0
290,226,186764,11.34,39,1537181,Salaried,721,54,0
291,227,55194,11.71,28,269942,Salaried,749,143,1
292,227,78476,10.56,28,269942,Salaried,749,7,0
293,228,98616,14.81,31,295430,Salaried,643,60,0
294,229,143849,14.76,28,262079,Self-Employed,623,38,0
295,230,61124,14.03,29,292382,Self-Employed,622,40,0
296,230,54918,15.19,29,292382,Self-Employed,622,43,0
297,231,59752,15.17,38,294945,Salaried,610,66,0
298,232,92607,16.72,30,248780,Self-Employed,558,60,0
299,232,98290,16.11,30,248780,Self-Employed,558,60,0
300,232,149972,17.02,30,248780,Self-Employed,558,60,0
301,233,141825,13.69,39,303392,Self-Employed,697,26,0
302,233,73202,13.96,39,303392,Self-Employed,697,63,0
303,234,92126,13.36,39,296406,Self-Employed,650,67,0
304,235,163882,13.51,52,577424,Salaried,651,60,0
305,235,95962,12.58,52,577424,Salaried,651,65,0
306,236,129089,15.65,25,1044775,Self-Employed,645,141,1
307,236,72525,14.32,25,1044775,Self-Employed,645,69,0
308,237,72821,10.63,43,246002,Salaried,720,39,0
309,237,56040,11.08,43,246002,Salaried,720,60,0
310,238,101396,13.57,35,295935,Self-Employed,670,134,1
311,239,241566,13.45,36,818685,Salaried,679,47,0
312,240,76120,17.67,24,396416,Salaried,597,60,0
313,241,58931,13.06,32,193008,Salaried,691,35,0
314,241,57401,13.44,32,193008,Salaried,691,120,1
315,241,76805,13.46,32,193008,Salaried,691,71,0
316,242,556142,13.45,42,1742260,Salaried,679,60,0
317,242,213602,13.05,42,1742260,Salaried,679,60,0
318,243,107989,12.48,35,972712,Self-Employed,674,41,0
319,243,287100,12.88,35,972712,Self-Employed,674,60,0
320,243,332744,13.7,35,972712,Self-Employed,674,108,1
321,244,110832,16.0,37,303652,Salaried,577,60,0
322,245,223404,13.78,34,834234,Salaried,694,60,0
323,246,104723,14.37,45,463504,Self-Employed,640,78,0
324,247,65457,11.06,36,250009,Self-Employed,730,7,0
325,248,78168,15.18,21,188984,Self-Employed,607,60,0
326,249,103440,10.19,30,834716,Salaried,760,75,0
327,250,128081,15.2,21,756057,Salaried,613,62,0
328,251,144739,15.14,21,371713,Salaried,608,127,1
329,251,100341,14.15,21,371713,Salaried,608,5,0
330,252,98470,13.16,32,258536,Salaried,660,60,0
331,252,50723,13.79,32,258536,Salaried,660,151,1
332,253,79689,15.53,47,283513,Self-Employed,620,140,1
333,254,88930,14.79,36,269091,Self-Employed,605,79,0
334,255,81811,14.18,27,1337055,Self-Employed,633,75,0
335,256,52269,14.33,28,181108,Salaried,639,76,0
336,256,57058,15.56,28,181108,Salaried,639,75,0
337,256,56533,14.76,28,181108,Salaried,639,50,0
338,257,102256,10.71,45,579915,Salaried,785,60,0
339,258,109160,10.95,37,857529,Salaried,759,30,0
340,259,68431,10.55,36,257478,Salaried,753,62,0
341,260,79487,10.52,36,249743,Salaried,798,60,0
342,261,83189,14.69,36,615534,Salaried,629,58,0
343,262,51347,13.21,42,193994,Self-Employed,690,66,0
344,263,64693,13.97,40,211601,Salaried,683,16,0
345,263,50417,13.0,40,211601,Salaried,683,29,0
346,264,88991,16.12,38,229382,Self-Employed,582,133,1
347,265,133407,13.16,28,934407,Self-Employed,650,34,0
348,265,293950,12.36,28,934407,Self-Employed,650,61,0
349,266,161409,17.71,40,511749,Self-Employed,582,60,0
350,267,108273,17.48,31,589887,Salaried,594,64,0
351,268,191349,14.49,45,488086,Salaried,642,119,1
352,268,111720,15.83,45,488086,Salaried,642,77,0
353,269,50973,10.62,26,194126,Salaried,800,60,0
354,270,57320,14.92,35,277180,Salaried,613,131,1
355,271,171859,17.8,36,492333,Salaried,583,74,0
356,271,304640,16.9,36,492333,Salaried,583,60,0
357,272,200529,14.95,25,526443,Salaried,638,60,0
358,272,148117,14.9,25,526443,Salaried,638,151,1
359,273,90455,10.9,50,314282,Salaried,745,107,1
360,274,79465,14.89,48,457231,Salaried,639,60,0
361,274,121106,14.78,48,457231,Salaried,639,30,0
362,275,62449,13.3,32,577937,Self-Employed,671,60,0
363,275,106840,12.3,32,577937,Self-Employed,671,60,0
364,275,100822,13.07,32,577937,Self-Employed,671,76,0
365,276,61820,13.64,42,785445,Salaried,661,6,0
366,276,222675,13.21,42,785445,Salaried,661,60,0
367,277,304356,15.5,39,846144,Salaried,632,34,0
368,278,58156,11.16,21,396560,Salaried,783,61,0
369,279,59131,11.87,38,736320,Salaried,800,74,0
370,279,80481,11.1,38,736320,Salaried,800,66,0
371,280,87560,10.55,36,472381,Salaried,735,26,0
372,281,172727,13.18,37,706140,Self-Employed,662,41,0
373,281,310417,12.82,37,706140,Self-Employed,662,65,0
374,281,222090,13.9,37,706140,Self-Employed,662,124,1
375,282,64717,14.15,27,269995,Salaried,646,108,1
376,283,64621,12.15,34,287726,Self-Employed,655,60,0
377,284,104238,11.3,35,481268,Salaried,742,9,0
378,285,154465,12.92,46,923369,Self-Employed,679,70,0
379,285,236541,12.43,46,923369,Self-Employed,679,32,0
380,286,57328,11.33,39,270299,Salaried,703,65,0
381,287,89496,13.62,36,1457285,Salaried,691,60,0
382,288,211778,14.8,48,390619,Salaried,621,60,0
383,288,114544,15.43,48,390619,Salaried,621,115,1
384,289,111954,12.58,32,241336,Self-Employed,654,141,1
385,290,165374,12.51,33,460327,Salaried,660,14,0
386,290,172411,12.89,33,460327,Salaried,660,30,0
387,291,92881,14.32,21,254199,Salaried,618,30,0
388,291,53290,15.42,21,254199,Salaried,618,78,0
389,291,109181,14.43,21,254199,Salaried,618,141,1
390,292,79701,12.5,49,189918,Salaried,665,28,0
391,293,87915,11.55,44,487266,Self-Employed,762,55,0
392,293,195165,11.15,44,487266,Self-Employed,762,56,0
393,294,228786,11.33,43,1442596,Salaried,787,60,0
394,295,64163,10.66,41,269062,Salaried,748,37,0
395,295,52853,10.06,41,269062,Salaried,748,60,0
396,296,299503,12.94,37,1464290,Self-Employed,659,60,0
397,297,86289,13.56,38,267118,Self-Employed,661,25,0
398,298,100221,12.96,34,652752,Salaried,670,26,0
399,299,247710,16.36,34,798097,Self-Employed,595,66,0
400,299,416264,16.24,34,798097,Self-Employed,595,52,0
401,299,284592,16.41,34,798097,Self-Employed,595,60,0
402,300,63378,17.63,36,260641,Self-Employed,571,60,0
403,301,55847,11.56,48,317264,Salaried,729,60,0
404,301,80622,11.52,48,317264,Salaried,729,20,0
405,302,534073,16.96,40,962096,Self-Employed,553,58,0
406,303,183939,15.97,36,942422,Salaried,638,60,0
407,304,98058,13.88,31,313920,Self-Employed,653,62,0
408,305,87809,11.35,31,202967,Salaried,780,72,0
409,305,59915,11.46,31,202967,Salaried,780,60,0
410,306,197384,17.41,49,834465,Salaried,596,6,0
411,306,168111,17.77,49,834465,Salaried,596,48,0
412,307,109163,10.42,40,964008,Salaried,758,13,0
413,308,138157,13.09,37,1468468,Salaried,699,60,0
414,309,181960,15.75,33,926273,Self-Employed,613,152,1
415,310,161891,13.8,27,573842,Salaried,662,79,0
416,310,163760,13.04,27,573842,Salaried,662,60,0
417,311,189017,12.3,35,573024,Salaried,689,73,0
418,312,94217,14.65,43,261750,Salaried,638,32,0
419,312,112953,14.76,43,261750,Salaried,638,46,0
420,313,203088,13.49,33,399032,Salaried,671,138,1
421,313,74437,12.79,33,399032,Salaried,671,76,0
422,314,207786,12.35,34,1530750,Salaried,668,60,0
423,315,334542,12.86,34,848712,Salaried,667,5,0
424,315,135406,13.43,34,848712,Salaried,667,48,0
425,316,171514,14.31,37,590865,Salaried,628,76,0
426,316,128856,15.52,37,590865,Salaried,628,65,0
427,317,66610,12.99,23,420970,Self-Employed,655,34,0
428,318,401815,12.39,34,1590914,Salaried,691,98,1
429,318,156224,12.31,34,1590914,Salaried,691,9,0
430,319,232075,15.34,29,748795,Salaried,620,60,0
431,320,896949,14.48,43,1570104,Salaried,639,72,0
432,321,109338,12.35,30,973879,Salaried,669,60,0
433,322,144428,15.11,41,312346,Salaried,613,28,0
434,322,69309,14.93,41,312346,Salaried,613,60,0
435,323,128389,10.62,48,741906,Self-Employed,768,66,0
436,324,255911,14.65,33,440862,Self-Employed,633,28,0
437,325,255274,10.27,31,847807,Salaried,735,31,0
438,326,129946,17.88,38,225990,Salaried,562,30,0
439,327,60240,15.39,36,267078,Self-Employed,628,60,0
440,328,213635,15.44,28,382884,Salaried,606,60,0
441,329,395426,13.22,40,1599512,Salaried,657,94,1
442,330,96514,12.78,52,239699,Salaried,657,139,1
443,331,99298,13.44,34,374789,Salaried,684,51,0
444,332,105868,15.98,34,192545,Salaried,606,28,0
445,333,73782,12.27,28,421994,Salaried,693,60,0
446,334,89153,14.97,39,1548766,Self-Employed,637,78,0
447,335,75151,10.1,26,592321,Salaried,798,53,0
448,335,89143,10.93,26,592321,Salaried,798,60,0
449,335,185882,10.18,26,592321,Salaried,798,58,0
450,336,291588,17.77,27,821658,Salaried,562,60,0
451,337,354216,15.83,46,959903,Self-Employed,600,60,0
452,338,192627,15.41,29,588281,Salaried,618,60,0
453,339,169042,15.22,45,419571,Self-Employed,603,60,0
454,340,65066,13.06,48,308968,Salaried,672,79,0
455,341,169232,12.18,38,688155,Self-Employed,650,11,0
456,342,71682,11.83,40,479610,Salaried,767,60,0
457,343,85366,15.81,52,345618,Salaried,614,60,0
458,344,295651,14.0,34,1192180,Salaried,663,43,0
459,344,361890,12.2,34,1192180,Salaried,663,30,0
460,345,118252,13.14,31,378198,Self-Employed,655,60,0
461,345,128992,12.16,31,378198,Self-Employed,655,78,0
462,346,426060,14.49,25,934505,Salaried,628,154,1
463,347,58192,15.13,36,1575230,Self-Employed,635,97,1
464,347,89762,14.57,36,1575230,Self-Employed,635,45,0
465,348,76172,11.67,48,1468722,Salaried,721,51,0
466,349,59910,12.32,44,227676,Self-Employed,697,138,1
467,350,80825,14.89,28,246045,Salaried,620,44,0
468,351,51016,13.32,29,184299,Salaried,666,145,1
469,352,370873,14.17,32,1195664,Salaried,609,60,0
470,353,54158,13.26,38,431705,Salaried,660,132,1
471,354,191640,13.04,34,1373676,Self-Employed,662,31,0
472,355,97208,18.0,38,295225,Salaried,595,57,0
473,356,131591,17.39,38,350332,Salaried,589,9,0
474,357,66261,17.72,34,470044,Salaried,588,79,0
475,358,217084,11.39,36,886129,Self-Employed,747,62,0
476,358,186264,10.05,36,886129,Self-Employed,747,96,1
477,359,62550,10.52,38,303344,Salaried,781,15,0
478,360,227591,10.37,35,1038071,Self-Employed,710,60,0
479,360,276220,11.91,35,1038071,Self-Employed,710,42,0
480,361,80680,16.33,40,757590,Self-Employed,581,144,1
481,361,276100,16.68,40,757590,Self-Employed,581,104,1
482,362,200121,12.32,51,654819,Salaried,661,31,0
483,363,112684,10.51,41,616872,Salaried,704,124,1
484,363,116673,11.75,41,616872,Salaried,704,60,0
485,363,208728,10.56,41,616872,Salaried,704,60,0
486,364,144976,11.43,36,1021138,Salaried,725,42,0
487,365,64647,13.98,23,230247,Salaried,683,60,0
488,366,59463,14.52,39,353045,Salaried,639,63,0
489,367,113236,10.51,21,841555,Self-Employed,784,31,0
490,368,77740,11.03,25,374622,Self-Employed,706,65,0
491,369,269536,16.52,43,858809,Salaried,586,60,0
492,370,167090,15.11,42,298081,Salaried,606,79,0
493,371,79478,13.56,35,477835,Salaried,654,29,0
494,372,90497,16.35,22,293629,Self-Employed,583,55,0
495,373,91247,13.97,33,306252,Self-Employed,669,72,0
496,373,73351,13.56,33,306252,Self-Employed,669,15,0
497,373,111867,13.72,33,306252,Self-Employed,669,38,0
498,374,211066,14.89,31,626181,Salaried,605,129,1
499,375,82964,15.22,41,217548,Salaried,615,60,0
